a,b,c,d,n,t,D
356.84674,1047.4453,525.35376,193.44052,3.9683564,23.223217,8.709151
227.97864,1341.9326,171.27579,161.42613,3.0634878,1.0721637,7.9432325
105.21027,1201.9993,131.09283,68.74565,1.8625392,8.920917,2.505034
134.86955,1131.9191,201.66412,84.86792,3.6978824,48.955833,3.50235
71.53518,795.7871,157.04773,63.584705,3.9487226,16.309921,1.7777976
321.64365,945.8568,204.02959,111.35631,2.4089377,37.095737,4.0675483
317.49176,815.06866,167.38084,120.12529,4.9462867,21.348705,4.123793
94.87012,891.23346,151.61763,65.83014,2.877746,33.400726,2.0230844
149.17192,961.9694,190.01355,110.89189,3.2309737,6.1933136,3.817198
274.39276,1461.287,216.23155,106.33948,2.4492948,36.146286,4.926001
185.01764,981.1194,99.41642,71.39349,4.58058,16.706469,2.3946269
202.78314,988.01697,204.53336,147.81714,3.1836247,18.177748,5.6208553
308.93417,1338.6615,280.38492,157.88545,2.928801,14.088317,7.24099
215.67613,1475.7041,260.25534,160.03804,3.293049,46.488434,8.216485
521.1987,608.27673,355.29504,197.24434,2.9473696,28.133942,7.1802197
348.12125,386.3824,273.53928,190.4112,2.9801307,6.1728587,14.119603
302.0883,1010.84265,468.56778,174.7125,3.2889194,2.3690493,7.0616264
271.75903,1480.4093,177.66786,105.35875,4.590963,21.226366,4.879688
278.3397,1282.9543,365.22003,175.1938,3.9009395,4.460567,7.986312
259.45633,792.77625,442.82013,151.84006,2.6979396,41.28487,6.2848153
384.86615,958.608,343.4215,162.88548,2.5788822,5.4184756,6.380871
164.58676,1286.9989,157.37724,98.71891,3.7723012,38.494293,4.0895767
480.97473,881.0108,386.02087,167.20029,2.9022443,29.542542,6.8201165
117.95136,859.8465,268.09048,94.6165,4.2437797,26.469946,3.1166842
210.19153,1239.7781,276.99866,158.16298,2.1796026,1.2910095,6.7534385
389.03613,836.34094,201.99092,161.55037,4.7882595,41.130535,6.33853
360.81082,824.1393,399.9065,157.29854,3.5111516,37.321762,6.3409157
121.18048,825.9231,240.40863,118.197945,3.2009654,34.121166,3.9368155
351.1517,733.0898,506.0066,199.51501,2.0961359,40.11744,8.468111
334.85745,513.5852,311.5107,117.43246,1.0373462,47.65412,3.9525847
304.42596,1234.2375,378.1253,169.69225,3.2494435,13.933669,7.583912
596.7816,527.156,509.57983,199.12918,1.7987196,11.627505,6.894412
